약국명,주소,전화번호
누네조은약국,"서울특별시 강남구 테헤란로 408, 5층 705호 (대치동)",02-566-0010
누리약국,"서울특별시 노원구 월계로45길 21, 상가동 203호 (월계동, 롯데캐슬루나아파트)",02-900-3672
누리약국,"서울특별시 강남구 테헤란로 310, 3층 (역삼동)",02-558-5887
누리약국,"서울특별시 송파구 오금로 551, 208동 1층 111-1호 (거여동, e편한세상 송파 파크센트럴)",02-406-8583
누리온누리약국,"서울특별시 광진구 자양로15길 18, 1층 (자양동, 혜성빌딩)",02-446-0245
뉴그랜드약국,"서울특별시 영등포구 대림로 212, (대림동)",02-849-6266
뉴대원약국,"서울특별시 성북구 화랑로 248, 1층 101호 (석관동, 장위뉴타워)",02-963-0792
뉴메디슨약국,"서울특별시 도봉구 해등로 255, 101동 207호 (쌍문동, 에벤에셀)",02-991-5365
뉴메디칼약국,서울특별시 동대문구 전농로 147 (전농동),02-2215-6291
뉴메디칼약국,서울특별시 광진구 뚝섬로 496 (자양동),02-469-3363
뉴석계프라자약국,서울특별시 노원구 석계로 2 (월계동),02-914-5555
뉴성모제일약국,"서울특별시 영등포구 여의대방로62길 2, 봉덕빌딩 1층 (신길동)",02-824-7586
뉴시티약국,"서울특별시 송파구 석촌호수로 160, 102호 (삼전동)",02-413-8897
뉴욕약국,서울특별시 강남구 테헤란로 107,070-4147-3039
뉴욕온누리약국,"서울특별시 강동구 양재대로 1590, 1층 (명일동)",02-428-0045
뉴월드약국,서울특별시 중랑구 겸재로49길 18  (면목동),02-495-4091
뉴지명약국,"서울특별시 도봉구 덕릉로 236, 1층 (창동)",02-993-2082
뉴크로바약국,"서울특별시 노원구 누원로 22, 크로바상가 101호 (상계동)",02-938-4484
뉴타운메디컬약국,"서울특별시 은평구 진관3로 70, 821동 상가 115호 (진관동, 은평뉴타운상림마을)",02-357-0777
뉴타운약국,"서울특별시 강북구 삼양로27길 43, 2층 201,202호 (미아동, 위브 테라스 파크)",02-982-0721
뉴타운온누리약국,"서울특별시 영등포구 가마산로 496, 105호 (신길동)",070-7817-7575
뉴프라임약국,"서울특별시 송파구 송파대로 278, 1층 (가락동)",02-403-2638
뉴프라자약국,"서울특별시 동대문구 고산자로 399, 104호,105호 (용두동, 동양프라자)",02-962-1197
느티나무약국,"서울특별시 광진구 자양로 87, 1층 (자양동)",02-456-7778
늘기쁜약국,"서울특별시 도봉구 도봉로 728, 1층 (방학동)",02-955-9988
늘봄약국,"서울특별시 송파구 토성로 78, 1층 (풍납동)",02-471-5205
늘봄약국,"서울특별시 강남구 논현로159길 17, 101호 (신사동)",02-6465-7075
늘사랑약국,서울특별시 동작구 상도로 91 (상도동),02-825-0755
늘사랑약국,"서울특별시 영등포구 영중로 60, 유니온빌딩 1층 (영등포동5가)",02-2039-2762
늘사랑약국,서울특별시 구로구 개봉로3길 59 (개봉동),02-2612-3337
늘사랑온누리약국,서울특별시 금천구 금하로 816 ,02-802-7440
늘조은온누리약국,"서울특별시 동대문구 사가정로25길 66, 1층 (장안동)",02-2248-1113
늘조은온누리약국,"서울특별시 송파구 동남로18길 45, 1층 (가락동)",02-403-1017
늘좋은약국,"서울특별시 동대문구 천호대로 319, 답십리한화오벨리스크 1층 102호 (답십리동)",02-2244-2131
늘좋은약국,"서울특별시 광진구 능동로 290, 삼일빌딩 1층 (능동)",02-6013-6056
늘편한약국,"서울특별시 서초구 서초대로74길 3, 윤빌딩 1층 (서초동)",02-2055-2370
늘편한약국,"서울특별시 광진구 면목로 128, 1층 101호 (중곡동)",02-499-4915
늘푸른솔약국,서울특별시 중랑구 겸재로 178  (면목동),02-439-3435
늘푸른약국,서울특별시 강북구 월계로7나길 9 (미아동),02-987-0389
늘푸른약국,서울특별시 도봉구 도봉로163길 7 (도봉동),02-3493-3823
늘푸른약국,"서울특별시 동대문구 전농로 148, 1층 (전농동)",02-2243-1101
늘푸른약국,"서울특별시 강남구 언주로 601, 파크랜드빌딩 지하1층 4,5호 (논현동)",02-568-5560
늘푸른약국,"서울특별시 광진구 천호대로 538, 스테이 더 디자이너스 군자 103,104호 (군자동)",02-462-8170
늘푸른약국,"서울특별시 구로구 구로중앙로12길 38, (구로동)",02-851-0601
늘푸른약국,"서울특별시 종로구 새문안로 17, 4.19기념도서관 2층 (평동)",02-734-9600
늘푸른약국,"서울특별시 마포구 백범로 202, 1층 102호 (신공덕동, 마포케이씨씨웰츠타워)",02-323-6051
늘푸른약국,"서울특별시 강동구 풍성로 214, 동양빌딩 102호 (성내동)",02-576-5222
늘푸른약국,"서울특별시 성동구 왕십리로 410, D동 비102호 (하왕십리동, 센트라스)",02-6015-0525
늘푸른온누리약국,서울특별시 관악구 남부순환로 1925 (봉천동),02-873-3431
늘푸른온누리약국,서울특별시 중랑구 면목로27길 80  (면목동),02-432-2004
늘푸른온누리약국,"서울특별시 강남구 압구정로 306, 101호 (신사동)",02-516-8753
늘푸른이화약국,"서울특별시 영등포구 영신로32길 20, (영등포동4가)",02-2679-4538
늘픔약국,"서울특별시 관악구 남부순환로 1635, 1층 (신림동)",02-877-6995
늘한마음약국,"서울특별시 노원구 노해로 494, 1층 109호 (상계동)",02-3392-5406
늘한마음약국,"서울특별시 노원구 노해로 494, 1층 109호 (상계동)",02-3392-5406
다나스약국,"서울특별시 영등포구 여의대방로 83, 1층 (신길동)",02-836-1017
다나아약국,"서울특별시 강동구 풍성로61길 32, 1층 (둔촌동)",02-2665-5110
다나약국,"서울특별시 송파구 오금로31길 3, 1층 103호 (방이동)",02-414-9221
다나약국,서울특별시 중랑구 사가정로49길 50 (면목동),02-437-1357
다나약국,"서울특별시 강동구 동남로75길 19, 명일빌딩 1층 1호 (명일동)",02-427-8277
다나약국,"서울특별시 중구 동호로7길 14, 113호 (신당동, 약수역 더시티)",02-2234-0345
다나약국,"서울특별시 강북구 덕릉로 75, 석우빌딩 1층 (수유동)",02-997-7795
다나약국,"서울특별시 용산구 후암로 43-2, 1층 (후암동)",02-753-0692
다나약국,서울특별시 노원구 석계로 95,02-943-8409
다나약국,"서울특별시 강남구 남부순환로375길 5, 휴빌딩 1층 102호 (도곡동)",02-578-8007
다나약국,서울특별시 구로구 경인로 216 (오류동),02-2611-3393
다나약국,"서울특별시 서초구 효령로 229, 서울빌딩 1층 (서초동)",02-597-3514
다나약국,"서울특별시 종로구 종로 128, 302호(종로3가)",02-2263-9293
다나온누리약국,"서울특별시 관악구 관악로 240, 1층 (봉천동)",02-886-4207
다나은약국,"서울특별시 용산구 한강대로 109, 용성비즈텔 101호 (한강로2가)",02-794-0518
다나은약국,"서울특별시 동대문구 홍릉로 3, 1층 (청량리동)",02-960-1005
다나은약국,"서울특별시 강서구 까치산로 29, 모현빌딩 1층 (화곡동)",02-2606-8948
다나을약국,서울특별시 성동구 장터1길 2 (금호동3가),02-2231-1703
다나을약국,"서울특별시 강북구 도봉로 333, 6층 (수유동, 정우빌딩)",02-900-3133
다나한약국,서울특별시 관악구 청룡길 20 (봉천동),02-888-1199
다남약국,서울특별시 송파구 백제고분로 261 (삼전동),02-2202-5941
다니엘약국,"서울특별시 용산구 이촌로 103, 1층 (한강로3가,천일빌딩)",02-794-2981
다드림약국,서울특별시 구로구 가마산로 211 101,02-858-1213
다래약국,서울특별시 강남구 논현로 508 (역삼동),02-567-9361
다마트약국,서울특별시 강서구 금낭화로 135,02-2665-0181
다모아약국,"서울특별시 노원구 동일로 1379, 105,106호 (상계동)",02-931-9300
다모아약국,"서울특별시 은평구 통일로 714, 1층 1호 (불광동)",02-356-8868
다모약국,"서울특별시 영등포구 여의나루로 61, 지하2층 (여의도동)",02-784-7778
다모약국,"서울특별시 영등포구 여의나루로 61, 지하2층 (여의도동)",02-784-7778
다민약국,"서울특별시 양천구 신정이펜2로 20, 401호 (신정동, 서남프라자1)",02-2699-6966
다보약국,"서울특별시 서초구 서초대로40길 77, 101호 (서초동)",02-525-3955
다보약국,서울특별시 금천구 시흥대로26길 9(시흥동),02-802-8788
다사랑약국,서울특별시 서초구 서초대로74길 11,02-581-5773
다사랑약국,"서울특별시 노원구 한글비석로 254, 305호 (중계동, 대명프라자)",02-935-8006
다사랑약국,"서울특별시 송파구 토성로 11, 1,2층 (풍납동)",02-477-2590
다산온누리약국,"서울특별시 중구 다산로 133-1, 1층 (신당동)",02-2233-5912
다솜약국,"서울특별시 광진구 천호대로 671, 2층 (구의동, 파크타운)",02-447-7635
다솜약국,서울특별시 동작구 상도로 82 (대방동),02-826-1060
다솜약국,서울특별시 중랑구 면목로 475 (상봉동),02-439-1177
다솜약국,"서울특별시 강남구 도곡로 205, 1층 (역삼동, 원경빌딩)",02-567-9691
다송약국,"서울특별시 구로구 경인로63길 11, 신도림 크라운빌2 오피스텔 109호 (신도림동)",02-2633-0118
다시봄약국,"서울특별시 강남구 남부순환로 2806, 군인공제회관 B1층 (도곡동)",02-3461-0301
다온약국,"서울특별시 은평구 은평로 123, 1층 101호 (응암동, 응암아네스트)",02-389-6182
다온약국,"서울특별시 영등포구 은행로 54, 신한드림리버오피스텔 B107호 (여의도동)",02-783-0624
다온약국,"서울특별시 동대문구 답십리로 273, 한양빌딩 1층 (장안동)",02-2216-4333
다온약국,"서울특별시 성북구 보국문로 68, 1층 (정릉동)",02-6095-7645
다온약국,"서울특별시 강서구 공항대로 269-15, 힐스테이트에코마곡 309-1호 (마곡동)",02-3665-9588
다온약국,서울특별시 강남구 테헤란로 328  (역삼동),02-568-5268
다온약국,"서울특별시 중랑구 공릉로 8, 102, 103호 (묵동, 대길빌딩)",02-972-1214
다온약국,서울특별시 강동구 천호옛길 98 (성내동),02-488-7266
다온약국,"서울특별시 서초구 서초대로77길 62, 강남역 IPARK 지층 B115호 (서초동)",02-533-9380
다온약국,"서울특별시 노원구 노해로 495, 삼성빌딩 1층 102,103호 (상계동)",02-6085-6418
다온약국,"서울특별시 광진구 긴고랑로 41 (중곡동, 대화탕)",02-499-7590
다온약국,"서울특별시 영등포구 은행로 54, 신한드림리버오피스텔 B107호 (여의도동)",02-783-0624
다온약국,"서울특별시 도봉구 도당로 6, 1층 105호 (쌍문동, 쌍문동 LG트윈빌2)",02-999-8082
다올약국,서울특별시 양천구 남부순환로40길 7 (신월동),02-2601-0033
다올약국,"서울특별시 송파구 양산로 40, 102호 (거여동)",02-400-1027
다올약국,"서울특별시 성북구 동소문로 116, 1층 (동선동1가)",02-929-9224
다올약국,"서울특별시 용산구 청파로 251, 지하1층 B02호 (청파동3가)",02-702-7083
다올약국,"서울특별시 중랑구 봉우재로 232, 1층 (망우동)",02-6402-7582
다움약국,"서울특별시 구로구 시흥대로 577-11, 4층 403호 (구로동)",02-838-1230
다원약국,서울특별시 금천구 독산로93길 41 (독산동),02-859-6677
다은약국,서울특별시 동작구 장승배기로20길 2 (노량진동),02-815-0506
다이아약국,서울특별시 강남구 강남대로84길 6 5층 (역삼동),02-552-9631
다인약국,서울특별시 영등포구 선유로 70 206-2호 (문래동3가),02-2636-8914
다인약국,"서울특별시 서초구 남부순환로 2614, 311호 (양재동, 한솔로이젠트)",02-571-1317
다인약국,"서울특별시 송파구 올림픽로 76, J타워 1층 104-1호 (잠실동)",02-423-7272
다정약국,"서울특별시 강남구 논현로175길 7, 1층 101호 (신사동)",02-543-3022
다정약국,"서울특별시 서초구 강남대로 527, 브랜드칸 타워 1층 (반포동)",02-543-8006
다정약국,"서울특별시 강서구 강서로 189, 101호 (화곡동)",02-2604-5180
다정약국,"서울특별시 강동구 양재대로 1377, 2층 204호 (성내동)",02-471-0313
다정약국,서울특별시 노원구 한글비석로 332,02-951-5567
다정약국,"서울특별시 동작구 동작대로29길 69, 120,121호 (사당동)",02-595-8804
다정약국,서울특별시 성북구 서경로 27 1층,02-915-3588
다정약국,"서울특별시 관악구 남부순환로 1485, 1층 (신림동, 삼남빌딩)",02-3283-3031
다정약국,"서울특별시 도봉구 노해로70길 46, 주공19단지종합상가 205-1호 (창동)",02-990-8800
다정약국,"서울특별시 용산구 한강대로104길 51, 1층 (동자동, 남영빌딩(제1호))",02-6497-2899
다정약국,"서울특별시 송파구 백제고분로 349, 자재백화점 1층 (석촌동)",02-421-7978
다정약국,"서울특별시 은평구 은평로 240, 녹번역 힐스테이트 근린생활시설 B1층 118호 (응암동)",02-383-7890
다정온누리약국,"서울특별시 서대문구 거북골로 120, 상가3동 3-1호 (남가좌동, DMC센트레빌)",02-302-5855
다정온누리약국,"서울특별시 강남구 논현로 511, 3층 (역삼동, YandC빌딩)",070-8830-6010
다정한약국,"서울특별시 강서구 강서로 59, 102호 (화곡동)",02-2603-8669
다해약국,"서울특별시 금천구 금하로 701, 1층 (시흥동)",02-6497-1234
다현약국,"서울특별시 강남구 언주로167길 46, 1층 2호 (신사동)",02-543-3188
다현온누리약국,"서울특별시 강남구 언주로167길 46, 1층 2호 (신사동)",025433188
단골약국,"서울특별시 강북구 삼양로27길 35-21, 미아프라자 1층 105호 (미아동)",02-983-9866
단골약국,서울특별시 동작구 보라매로 61-1 (신대방동),02-821-3157
단골온누리약국,서울특별시 종로구 지봉로 50 (숭인동),02-745-0731
단비약국,"서울특별시 중랑구 봉화산로 194, 신아타운 7층 705호 (신내동)",02-3421-1412
단비약국,"서울특별시 양천구 목동동로10길 14, 105호 (신정동)",02-2062-9078
단비온누리약국,"서울특별시 송파구 올림픽로 145, 1층 A27호 (잠실동, 리센츠상가)",02-422-6883
단우한약국,"서울특별시 동대문구 약령중앙로 5, 대산빌딩 1층 (제기동)",02-000-0000
단풍약국,서울특별시 중랑구 동일로 680 (면목동),02-6052-4019
달구약국,서울특별시 강남구 양재대로55길 6  (일원동),02-459-3300
달빛약국,"서울특별시 성동구 독서당로 202, 지하1층 B102호 (옥수동)",02-2282-1114
달빛약국,"서울특별시 은평구 진관2로 90, 320동 지하1층 B111호 (진관동, 은평뉴타운 마고정)",050-71430-1398
달약국,"서울특별시 강동구 천호대로 1171, 1층 (길동)",02-478-4005
담주미즈약국,"서울특별시 강동구 천호대로159길 3, 1층 (천호동)",02-474-9114
답십리백화점약국,"서울특별시 동대문구 전농로 102, 1층 (답십리동, 목련빌딩)",02-2215-9454
답십리스타약국,"서울특별시 동대문구 전농로 38, 1층 (답십리동)",070-4242-1820
답십리코코약국,"서울특별시 동대문구 답십리로 130, 근린생활시설-3동 제지1층 3-2호 (답십리동, 래미안위브)",070-4216-9844
당고개약국,"서울특별시 노원구 상계로 309-1, (상계동)",02-930-5142
당근약국,"서울특별시 종로구 새문안로 83, 1층 (신문로1가)",02-735-0709
당근온누리약국,"서울특별시 광진구 능동로 261, 1층 102호 (군자동)",02-468-0966
당산봄약국,서울특별시 영등포구 양평로 20(당산동6가),02-3667-4598
당산삼성약국,"서울특별시 영등포구 당산로44길 3, 406호 (당산동5가, 삼성타운)",02-2633-1811
당산수약국,서울특별시 영등포구 양평로 53 (당산동5가),02-319-8200
당산스타약국,"서울특별시 영등포구 양평로 22, 1층 (당산동6가)",02-3667-8274
당산열린약국,"서울특별시 영등포구 양평로 32 (당산동6가, 누가빌딩)",02-2634-7078
대건약국,서울특별시 영등포구 양평로 99,02-6909-9868
대경약국,서울특별시 종로구 종로51나길 2,02-744-2434
대광약국,서울특별시 동작구 상도로45길 6 (상도1동),02-825-2600
대교약국,서울특별시 영등포구 여의대방로 383 (여의도동),02-780-4259
대교약국,"서울특별시 송파구 가락로 153, 1층 (송파동)",02-414-8275
대교약국,"서울특별시 마포구 도화길 10, 1층 (도화동)",02-714-5849
대교약국,서울특별시 영등포구 여의대방로 383 (여의도동),02-780-4259
대남약국,서울특별시 동작구 상도로22길 26 (상도동),02-822-3502
대도약국,"서울특별시 종로구 우정국로 38-1, 1층 (견지동)",02-737-4510
대도약국,"서울특별시 중구 퇴계로 183, (필동1가)",02-2266-9862
대동약국,"서울특별시 관악구 관악로 185, 1층 (봉천동)",02-877-0453
대동약국,"서울특별시 송파구 가락로 175, 1층 (송파동)",02-418-6551
대림대학약국,"서울특별시 영등포구 시흥대로187길 3, (대림동)",02-845-5990
대림미소약국,"서울특별시 영등포구 도림로 135, 1층 107,108호 (대림동)",02-842-8878
대림백화점약국,서울특별시 영등포구 신길로 40 (신길동),02-835-6161
대림약국,"서울특별시 은평구 은평터널로 65, 101호,110호 (수색동, 대림한숲타운아파트)",02-374-2046
대림약국,서울특별시 관악구 낙성대로 22 (봉천동),02-889-3188
대림약국,"서울특별시 서초구 사임당로 105, (서초동)",02-525-3273
대림약국,서울특별시 구로구 신도림로 16,02-2679-3553
대림온누리약국,서울특별시 동작구 시흥대로 662 (신대방동),02-6104-1234
대림우리약국,서울특별시 구로구 도림로 92 (구로동),02-855-7538
대림타워약국,"서울특별시 영등포구 가마산로48길 16, 3층 (대림동,신풍프라자)",02-841-1085
대명당약국,서울특별시 동대문구 천호대로13길 56 (용두동),02-928-7467
대명약국,"서울특별시 금천구 벚꽃로 298, 대륭포스트타워6차 104호 (가산동)",02-866-2728
대명약국,"서울특별시 종로구 종로 256-1, 대명빌딩 1층 (종로5가)",02-2274-0980
대명약국,"서울특별시 영등포구 영신로19길 7, (영등포동)",02-844-5433
대박약국,"서울특별시 종로구 종로 19, 3층 327호 (종로1가, 르메이에르종로타운)",02-2075-7171
대방약국,"서울특별시 동작구 등용로 127, 103동 203호 (대방동, 현대아파트상가)",02-817-4828
대생약국,서울특별시 강서구 강서로 171  (화곡동),02-2696-8082
대서울약국,"서울특별시 종로구 창경궁로 158, 2층 (원남동)",02-762-6060
대성모약국,"서울특별시 영등포구 시흥대로 655, 1층 (대림동)",02-834-7900
대성약국,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 1층 (내발산동)",02-2691-6675
대성약국,서울특별시 구로구 개봉로3길 35  (개봉동),02-2066-0120
대성약국,서울특별시 관악구 청림길 8 (봉천동),02-877-3024
대성옵티마약국,서울특별시 용산구 회나무로 23 (이태원동),02-794-0389
대신약국,"서울특별시 중랑구 동일로 802, 1층 (중화동)",02-496-7735
대영약국,서울특별시 성북구 월곡로5길 66 (종암동),02-912-6432
대영약국,"서울특별시 마포구 모래내로7길 44, (성산동)",02-373-3553
대영약국,"서울특별시 동작구 만양로 26, 215호 (상도동, 건영아파트)",02-827-0965
대영약국,서울특별시 서초구 잠원로14길 29,02-591-9888
대영약국,"서울특별시 도봉구 도봉로129길 26, (쌍문동)",02-904-0403
대우당약국,서울특별시 금천구 은행나무로 34 (시흥동),02-808-8960
대우당약국,서울특별시 동작구 상도로 102 (상도동),02-822-2682
대우마이빌약국,"서울특별시 양천구 공항대로 552, 1층(목동,대우마이빌빌딩)",02-2651-8976
대우사약국,서울특별시 중구 세종대로 22 (남대문로5가),02-753-2703
대우약국,서울특별시 서대문구 통일로40안길 3-1,02-379-5836
대우약국,"서울특별시 구로구 천왕로 106, 골드프라자 1층 104호 (천왕동)",02-2684-9752
대우약국,"서울특별시 은평구 통일로 749, (대조동)",02-387-8626
대우약국,서울특별시 강북구 삼양로 348 (수유동),02-904-2450
대운약국,"서울특별시 영등포구 당산로 142, 1층 (당산동3가)",050-71447-6604
대웅약국,서울특별시 도봉구 우이천로 298 (쌍문동),02-990-2345
대원사약국,"서울특별시 중랑구 중랑역로 90, 대원메디컬빌딩 (중화동)",02-433-3400
대원약국,"서울특별시 영등포구 당산로 34 (문래동3가,4층)",02-2633-8703
대원약국,서울특별시 성북구 돌곶이로14길 51 (석관동),02-966-0792
대유약국,"서울특별시 서대문구 모래내로 359, (홍은동)",02-379-4415
대인당온누리약국,"서울특별시 금천구 시흥대로 237, (시흥동)",02-803-2111
대일약국,서울특별시 동작구 동작대로27길 22 (사당동),02-591-4655
대일약국,"서울특별시 중랑구 상봉중앙로1길 32, 1층 (상봉동)",02-433-1712
대자연약국,"서울특별시 강동구 구천면로 291, (천호동)",02-474-7576
대제일약국,서울특별시 금천구 독산로85길 13 (독산동),02-857-2166
대조약국,"서울특별시 은평구 서오릉로 140, 1층 (대조동)",02-357-7582
대지약국,"서울특별시 강북구 삼양로 247, 3층 (미아동)",02-945-8946
대창약국,서울특별시 강북구 월계로 53 (미아동),02-989-2267
대청약국,"서울특별시 강남구 개포로 623, 대청타워 106호 (개포동)",02-3412-0106
대치메디칼약국,"서울특별시 강남구 남부순환로 2935, (대치동)",02-569-1137
대치약국,"서울특별시 강남구 선릉로86길 42, 102호 (대치동)",02-6954-1778
대치예스약국,"서울특별시 강남구 도곡로 408, 410호 (대치동, 디마크빌딩)",02-555-1150
대치이화약국,"서울특별시 강남구 역삼로 536, 3층 (대치동, 동성빌딩)",02-567-3375
대치참약국,"서울특별시 강남구 남부순환로 2927, 대치 클래시아 204호,205호 (대치동)",02-501-5920
대치필리아약국,서울특별시 강남구 도곡로63길 12  (대치동),02-508-6116
대풍약국,서울특별시 성동구 사근동길 6,02-2296-8899
대풍약국,서울특별시 중구 동호로11길 43 (신당동),02-2252-3944
대학당약국,서울특별시 관악구 원신길 2-1 (신림동),02-878-7497
대학솔약국,"서울특별시 동대문구 안암로 158, 1층 (제기동)",02-923-3338
대학약국,서울특별시 성북구 고려대로 89 (안암동5가),02-924-1919
대학약국,"서울특별시 강동구 동남로 889, 102호 (명일동)",02-426-2200
대학약국,"서울특별시 송파구 강동대로 57, 1, 2층 (풍납동)",02-473-0111
대학약국,"서울특별시 성동구 사근동길 4, (행당동)",02-2293-0554
대학약국,"서울특별시 은평구 통일로 1030, 은평헤스티아 B101호 (진관동)",02-388-8825
대학약국,서울특별시 서대문구 연세로 37-1  (창천동),02-323-0111
대학약국,"서울특별시 강서구 화곡로 152, CUBE152 (화곡동)",02-2603-0138
대학약국,"서울특별시 종로구 창경궁로 162, 1,2층 (원남동)",02-3672-3672
대학약국,서울특별시 구로구 구로동로 149-1 (구로동),02-865-4910
대학약국,서울특별시 동작구 흑석로 106 (흑석동),02-815-6842
대학온누리약국,"서울특별시 광진구 군자로 70, 동일흥업주식회사 제나동 104호 (군자동)",02-497-3005
대한약국,서울특별시 금천구 금하로 711 (시흥동),02-805-5011
대한약국,"서울특별시 송파구 법원로11길 11, 문정현대지식산업센터1-1 A동 101호 (문정동)",02-3400-0088
대한약국,"서울특별시 중랑구 신내로16길 17, 105호 (신내동)",02-3421-4200
대한약국,"서울특별시 종로구 대학로5길 57, 1,2층 (연건동)",02-3676-1720
대한약국,서울특별시 성동구 동호로 102,02-2233-1732
대한약국,서울특별시 강동구 천호대로 1027 (천호동),02-483-9165
대해약국,"서울특별시 중구 퇴계로 393-1, 써니캐슬 1층 101호 (흥인동)",02-2268-4885
대현온누리약국,"서울특별시 강서구 양천로 556, 강서메디칼센터 105호 (등촌동)",02-2668-2525
대형약국,"서울특별시 서대문구 북아현로 4, (북아현동)",02-312-0940
대호약국,"서울특별시 노원구 한글비석로 384, 대호프라자 317호, 318호 (중계동)",02-939-8144
대화약국,서울특별시 중구 동호로5길 22,02-2238-1333
대화약국,서울특별시 영등포구 국제금융로6길 33,02-780-0809
대흥365약국,"서울특별시 마포구 백범로 98, 1층 (대흥동)",02-713-2060
대흥약국,서울특별시 마포구 대흥로 192-1  (대흥동),02-715-3959
대흥약국,"서울특별시 영등포구 신길로39길 13, (신길동)",02-832-1894
대흥온누리약국,"서울특별시 마포구 신촌로 160, 106호 (대흥동, 이대역스타힐스)",02-716-7582
더건강약국,"서울특별시 송파구 중대로 193, 주식회사홈캐스트 1층 (가락동)",02-402-2282
더건강약국,"서울특별시 강서구 강서로 206, 1층 (화곡동)",02-2699-2275
더나은약국,"서울특별시 광진구 천호대로 570, 1층 101호 (능동)",02-456-8209
더나은약국,"서울특별시 영등포구 당산로 83, 1층 105-1호 (당산동2가, 한화포레나당산)",02-3280-5837
더나은약국,"서울특별시 중랑구 동일로 641, 대원빌딩 1층 (면목동)",02-6462-1335
더나은약국,"서울특별시 강서구 공항대로 271, 이천이프라자 1층 103호 (마곡동)",02-3663-1335
더바른약국,"서울특별시 강동구 구천면로 241, 1층 (천호동)",02-478-0852
더밝은약국,"서울특별시 성동구 마조로9길 15, 1층 (행당동)",02-2281-7923
더봄약국,"서울특별시 강남구 선릉로 325, 중앙빌딩 1층 4호 (역삼동)",02-555-2336
더봄약국,"서울특별시 송파구 석촌호수로 118, 규영빌딩 103호 (잠실동)",02-3431-7771
더블유스토어 맑은샘약국,서울특별시 동작구 장승배기로 110 (노량진동),02-825-8175
더블유스토어아름다운약국,서울특별시 영등포구 영중로 6 (영등포동3가),02-3667-5617
더블유스토어연세약국,"서울특별시 마포구 신촌로 92, 1층 (노고산동, 카리스빌딩)",02-3141-4358
더블유스토어푸른약국,"서울특별시 구로구 도림로 73 (구로동, 인성빌딩)",02-855-6007
더블유약국,"서울특별시 송파구 올림픽로 100, 효창타워 1층 (잠실동)",02-415-1559
더블유약국,"서울특별시 강남구 강남대로 468, 1층 (역삼동, 충림빌딩)",02-557-9135
더블유약국,서울특별시 동작구 양녕로 264 (상도1동),02-821-0007
더사랑약국,"서울특별시 성북구 아리랑로 16, 1층 104호 (동선동4가)",02-921-1246
더샵스타시티약국,"서울특별시 광진구 아차산로 272 (자양동, 스타시티쇼핑몰)",0220241311
더선약국,"서울특별시 양천구 공항대로 630, 1층 (목동, 어바니엘)",02-6949-3088
더원약국,"서울특별시 서초구 반포대로 291, 5층 546호 (반포동)",02-2138-0606
더조은약국,"서울특별시 강동구 상암로 41, 1층 120, 120-1호 (암사동, 암사동양덱스빌)",02-428-2588
더조은약국,"서울특별시 노원구 한글비석로 235, 하나프라자빌딩 4층 405호 (중계동)",02-930-9894
더조은약국,"서울특별시 강서구 곰달래로49길 29, 103호 (화곡동)",02-2699-7007
더조은약국,서울특별시 강남구 자곡로3길 21 상가1동 B202호,02-459-3005
더참사랑약국,"서울특별시 광진구 아차산로 361, 1층 (자양동)",02-455-7077
더클래식약국,"서울특별시 광진구 능동로 90, 1층 104-2호 (자양동, 더클래식500)",02-455-4565
더튼튼약국,"서울특별시 광진구 동일로 92-1, 1층 (자양동)",02-499-2700
더튼튼약국,"서울특별시 도봉구 노해로65길 18, 1층 101호 (창동)",02-999-0105
더푸른약국,"서울특별시 관악구 관악로 195, 1층 104호 (봉천동, 관악위버폴리스)",02-888-7575
더하늘약국,서울특별시 서초구 강남대로 509 ,02-540-2636
더하늘약국,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 3층 3B12호 (잠실동)",02-3431-8808
더함약국,"서울특별시 송파구 올림픽로 145, 리센츠 4층 4B01호 (잠실동)",02-423-2270
더행복약국,서울특별시 은평구 은평로 200-1 (응암동),02-387-3515
더힘찬약국,"서울특별시 성동구 독서당로 302, 3층 (금호동4가)",02-2299-0104
덕성그린약국,"서울특별시 강북구 삼양로 530, 1층 (우이동)",02-6397-9974
덕성온누리약국,"서울특별시 성북구 아리랑로 89, 102호 (돈암동, 일신건영휴먼빌 상가 )",02-922-0555
덕수궁돌담약국,"서울특별시 중구 세종대로 83, 1층 (태평로2가)",02-318-3758
덕수약국,"서울특별시 중랑구 중랑역로 33, 1층 (중화동)",02-2209-4996
덕인약국,"서울특별시 강동구 구천면로 287, (천호동)",02-471-2772
도곡메디칼약국,"서울특별시 강남구 도곡로 242, 지하1층 103호, 1층 201호 (도곡동, 삼호아파트(삼호상가))",02-3462-9095
도곡명약국,"서울특별시 강남구 도곡로28길 8, 상가동 102,103호 (도곡동, 도곡1차 I PARK)",02-6953-7755
도곡약국,"서울특별시 강남구 논현로28길 2, 1층 (도곡동)",02-6407-7656
도곡우리약국,"서울특별시 강남구 선릉로 225, 214호 (도곡동, 도곡렉슬아파트)",02-529-8588
도곡타워약국,"서울특별시 강남구 언주로30길 21, B1층 101-24A호 (도곡동, 아카데미스위트)",02-529-2916
도남희약국,"서울특별시 관악구 난향2길 8, 1층 (신림동)",02-868-7231
도담약국,"서울특별시 성북구 동소문로 305, 지층 (길음동)",02-945-7650
